date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:52	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Aug%202021%2019:10:45%20GMT	https://kelhome.in/robots.txt		(from )
11:45:52	34574/34574	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2012:36:41%20GMT	https://kelhome.in/	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/index.html	(from )
11:45:52	6618/6618	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Apr%202023%2007:41:58%20GMT	https://kelhome.in/assets/img/favicon.png	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/img/favicon.png	(from https://kelhome.in/)
11:45:53	194874/194874	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:38:48%20GMT	https://kelhome.in/assets/css/bootstrap.min.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/bootstrap.min.css	(from https://kelhome.in/)
11:45:54	2937/2937	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:39:18%20GMT	https://kelhome.in/assets/css/owl.carousel.min.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/owl.carousel.min.css	(from https://kelhome.in/)
11:45:54	70609/70609	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:38:37%20GMT	https://kelhome.in/assets/css/animate.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/animate.css	(from https://kelhome.in/)
11:45:55	4007/4007	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:38:49%20GMT	https://kelhome.in/assets/css/chosen.min.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/chosen.min.css	(from https://kelhome.in/)
11:45:56	16469/16469	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:39:38%20GMT	https://kelhome.in/assets/css/themify-icons.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/themify-icons.css	(from https://kelhome.in/)
11:45:57	46075/46075	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:38:58%20GMT	https://kelhome.in/assets/css/fontawesome-all.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/fontawesome-all.css	(from https://kelhome.in/)
11:45:57	51304/51304	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2007:39:02%20GMT	https://kelhome.in/assets/css/ionicons.min.css	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/ionicons.min.css	(from https://kelhome.in/)
